Customer_ID,Age,Gender,Marital_Status,Dependents,Occupation,Income_Bracket,Credit_Score,Location,Current_Product,Browsed_Products,Recommended_Product,Life_Stage,Avg_Monthly_Spend,Savings_Rate,Existing_Loans,Digital_Engagement_Score,Transaction_Frequency,Last_Product_Viewed,Last_Login_Date,Channel_Used,Campaign_Response,Churn_Risk,Recommendation_Reason,Conversion_Probability,Recommended_By,Offer_Available
CUST00016,24,Female,Single,2,Other,Low,791,Metro,Basic Credit Card,"Retirement Fund, Health Insurance",Personal Loan,Pre-Retirement,142431,0.43,Personal Loan,8,Low,Gold Investment,2025-09-22,Mobile App,No,Low,Similar customers bought this,0.34,Collaborative Filtering,No
CUST00017,43,Female,Single,5,Government,Low,664,Metro,Student Credit Card,"Gold Investment, Life Insurance",Entry-Level Credit Card,Young Professional,33553,0.29,None,5,High,Travel Insurance,2025-09-21,Mobile App,No,Low,Similar customers bought this,0.28,Hybrid,No
CUST00018,23,Male,Single,1,Government,Low,837,Metro,Savings Account,"Travel Insurance, Mutual Funds",Basic Credit Card,Pre-Retirement,26570,0.5,None,10,Medium,Savings Account,2025-09-01,Mobile App,No,Low,Based on browsing history,0.62,Content-Based,Yes
CUST00019,45,Female,Single,2,Self-Employed,Medium,318,Urban,Savings Account,"Micro-loans, Budget Credit Card",Basic Credit Card,Young Professional,149146,0.17,None,7,Low,Micro-loans,2025-09-11,Mobile App,No,Low,Similar customers bought this,0.12,Hybrid,No
CUST00020,51,Male,Single,3,Self-Employed,High,377,Urban,Savings Account,"Retirement Fund, Health Insurance",Basic Credit Card,Young Professional,108577,0.45,Personal Loan,10,Low,Micro-loans,2025-09-17,Mobile App,Yes,Low,Based on browsing history,0.84,Collaborative Filtering,No
CUST00021,59,Female,Single,0,IT,Low,597,Rural,Student Credit Card,"Travel Insurance, Mutual Funds",Entry-Level Credit Card,Early Career,136305,0.08,None,1,Medium,Micro-loans,2025-09-09,Mobile App,No,Low,Based on browsing history,0.85,Content-Based,No
CUST00022,23,Female,Single,0,Self-Employed,Low,405,Metro,Basic Credit Card,"Retirement Fund, Health Insurance",Personal Loan,Early Career,166143,0.42,Personal Loan,6,High,Retirement Fund,2025-09-27,Mobile App,No,Low,Based on browsing history,0.17,Collaborative Filtering,No
CUST00023,42,Male,Single,1,IT,High,653,Semi-Urban,Basic Credit Card,"Travel Insurance, Mutual Funds",Personal Loan,Mid-Career Professional,67878,0.31,Car Loan,3,Low,Savings Account,2025-09-15,Mobile App,No,Medium,Based on browsing history,0.37,Collaborative Filtering,No
CUST00024,54,Male,Married,0,Retired,Low,303,Semi-Urban,Mortgage Loan,"Savings Account, Bike Loan",Retirement Investment Plan,Early Career,151216,0.26,None,2,High,Fixed Deposit,2025-09-16,Website,No,Low,Matched to profile,0.52,Collaborative Filtering,Yes
CUST00025,33,Female,Single,0,IT,Medium,731,Semi-Urban,Mortgage Loan,"Micro-loans, Budget Credit Card",Retirement Investment Plan,Pre-Retirement,25599,0.15,None,4,Medium,Fixed Deposit,2025-09-01,Website,No,Medium,Similar customers bought this,0.88,Content-Based,No
CUST00026,43,Male,Married,1,Government,Medium,693,Urban,Mortgage Loan,"Gold Investment, Life Insurance",Retirement Investment Plan,Young Professional,18638,0.13,Personal Loan,3,Low,Travel Insurance,2025-09-14,Website,No,Medium,Based on browsing history,0.92,Collaborative Filtering,No
CUST00027,46,Female,Single,0,Other,High,386,Metro,Savings Account,"Retirement Fund, Health Insurance",Basic Credit Card,Young Professional,37640,0.21,Multiple,4,Medium,Gold Investment,2025-09-07,Website,Yes,Medium,Based on browsing history,0.77,Hybrid,Yes
CUST00028,48,Male,Single,1,Government,Low,819,Urban,Student Credit Card,"Gold Investment, Life Insurance",Entry-Level Credit Card,Pre-Retirement,42323,0.12,None,10,High,Savings Account,2025-09-22,Branch,No,Medium,Matched to profile,0.12,Collaborative Filtering,No
CUST00029,63,Male,Married,0,IT,Low,658,Semi-Urban,Basic Credit Card,"Retirement Fund, Health Insurance",Personal Loan,Young Professional,105408,0.16,None,9,Medium,Travel Insurance,2025-09-06,Website,No,Low,Similar customers bought this,0.46,Content-Based,No
CUST00030,49,Male,Married,0,Government,Medium,375,Semi-Urban,Savings Account,"Retirement Fund, Health Insurance",Basic Credit Card,Mid-Career Professional,91491,0.49,None,6,Medium,Fixed Deposit,2025-09-28,Mobile App,No,Low,Based on browsing history,0.25,Collaborative Filtering,No
CUST00031,37,Female,Single,1,Retired,High,317,Urban,Basic Credit Card,"Fixed Deposit, Home Loan",Personal Loan,Mid-Career Professional,135208,0.43,None,6,Medium,Retirement Fund,2025-09-28,Branch,No,Low,Matched to profile,0.67,Content-Based,No
CUST00032,36,Male,Single,1,Retired,Medium,366,Rural,Basic Credit Card,"Fixed Deposit, Home Loan",Personal Loan,Early Career,196915,0.07,Multiple,2,High,Micro-loans,2025-09-18,Mobile App,Yes,Low,Matched to profile,0.64,Hybrid,No
CUST00033,24,Male,Single,3,Other,Low,412,Urban,Savings Account,"Gold Investment, Life Insurance",Basic Credit Card,Mid-Career Professional,9143,0.19,None,10,Low,Gold Investment,2025-09-21,Mobile App,Yes,Low,Based on browsing history,0.76,Content-Based,No
CUST00034,58,Female,Married,2,Other,Medium,832,Metro,Basic Credit Card,"Savings Account, Bike Loan",Personal Loan,Young Professional,185352,0.12,None,2,High,Savings Account,2025-09-21,Branch,No,Medium,Similar customers bought this,0.74,Collaborative Filtering,No
CUST00035,28,Male,Single,1,Retired,High,540,Rural,Student Credit Card,"Retirement Fund, Health Insurance",Entry-Level Credit Card,Pre-Retirement,93157,0.13,Home Loan,4,High,Micro-loans,2025-09-21,Mobile App,No,High,Matched to profile,0.18,Hybrid,No
CUST00036,42,Male,Single,1,Retired,High,426,Semi-Urban,Basic Credit Card,"Micro-loans, Budget Credit Card",Personal Loan,Young Professional,64237,0.12,Car Loan,9,High,Micro-loans,2025-09-12,Mobile App,No,Low,Based on browsing history,0.79,Hybrid,No
CUST00037,30,Male,Married,2,Government,High,674,Urban,Basic Credit Card,"Fixed Deposit, Home Loan",Personal Loan,Early Career,142232,0.3,Home Loan,10,Medium,Travel Insurance,2025-09-06,Mobile App,No,Low,Matched to profile,0.28,Hybrid,Yes
CUST00038,60,Female,Single,1,Retired,Low,419,Semi-Urban,Basic Credit Card,"Travel Insurance, Mutual Funds",Personal Loan,Young Professional,122842,0.13,None,4,Medium,Gold Investment,2025-09-10,Website,Yes,Medium,Based on browsing history,0.62,Collaborative Filtering,Yes
CUST00039,39,Female,Single,0,IT,Low,640,Semi-Urban,Mortgage Loan,"Travel Insurance, Mutual Funds",Retirement Investment Plan,Early Career,9524,0.5,None,8,Medium,Savings Account,2025-09-13,Mobile App,No,Low,Based on browsing history,0.93,Content-Based,No
CUST00040,25,Female,Single,1,Government,Medium,829,Rural,Savings Account,"Travel Insurance, Mutual Funds",Basic Credit Card,Mid-Career Professional,130484,0.14,Personal Loan,1,Medium,Retirement Fund,2025-09-02,Mobile App,Yes,Low,Based on browsing history,0.65,Collaborative Filtering,No
CUST00041,46,Male,Single,1,Self-Employed,High,811,Urban,Basic Credit Card,"Savings Account, Bike Loan",Personal Loan,Pre-Retirement,139753,0.44,Home Loan,6,Low,Gold Investment,2025-09-06,Website,No,Low,Based on browsing history,0.38,Collaborative Filtering,No
CUST00042,35,Female,Single,0,Other,Low,365,Semi-Urban,Savings Account,"Retirement Fund, Health Insurance",Basic Credit Card,Mid-Career Professional,160487,0.41,Home Loan,3,Low,Gold Investment,2025-09-17,Website,No,Low,Similar customers bought this,0.53,Collaborative Filtering,Yes
CUST00043,30,Female,Divorced,1,Other,Low,434,Urban,Student Credit Card,"Retirement Fund, Health Insurance",Entry-Level Credit Card,Early Career,119102,0.48,Car Loan,6,Low,Savings Account,2025-09-13,Website,No,Low,Matched to profile,0.24,Content-Based,No
CUST00044,47,Male,Married,0,Other,High,703,Metro,Savings Account,"Gold Investment, Life Insurance",Basic Credit Card,Pre-Retirement,95291,0.47,Personal Loan,3,Low,Travel Insurance,2025-09-23,Branch,Yes,Low,Matched to profile,0.75,Content-Based,No
CUST00045,23,Male,Single,2,Government,Low,471,Urban,Basic Credit Card,"Fixed Deposit, Home Loan",Personal Loan,Early Career,122966,0.28,Personal Loan,9,Low,Savings Account,2025-09-14,Website,No,Medium,Based on browsing history,0.45,Content-Based,No
CUST00046,41,Female,Single,0,Retired,Low,761,Urban,Basic Credit Card,"Travel Insurance, Mutual Funds",Personal Loan,Mid-Career Professional,186124,0.5,None,4,High,Fixed Deposit,2025-09-11,Branch,No,Medium,Similar customers bought this,0.28,Collaborative Filtering,No
CUST00047,49,Male,Married,3,IT,Medium,349,Metro,Student Credit Card,"Savings Account, Bike Loan",Entry-Level Credit Card,Mid-Career Professional,5538,0.46,Car Loan,5,Low,Fixed Deposit,2025-09-27,Branch,No,Medium,Matched to profile,0.75,Collaborative Filtering,No
CUST00048,28,Female,Married,1,Self-Employed,Medium,626,Urban,Savings Account,"Gold Investment, Life Insurance",Basic Credit Card,Early Career,16878,0.27,None,9,High,Savings Account,2025-09-23,Website,No,Low,Matched to profile,0.5,Collaborative Filtering,No
CUST00049,29,Male,Married,3,Other,Medium,323,Semi-Urban,Premium Credit Card,"Micro-loans, Budget Credit Card",Personal Loan (Travel),Mid-Career Professional,109106,0.26,None,4,Medium,Micro-loans,2025-09-11,Mobile App,No,Low,Based on browsing history,0.5,Collaborative Filtering,Yes
CUST00050,56,Female,Married,0,Government,Low,764,Urban,Savings Account,"Retirement Fund, Health Insurance",Basic Credit Card,Young Professional,156377,0.38,Home Loan,5,High,Fixed Deposit,2025-09-27,Mobile App,No,Low,Similar customers bought this,0.45,Content-Based,No
CUST00051,35,Male,Single,0,IT,Medium,636,Urban,Mortgage Loan,"Retirement Fund, Health Insurance",Retirement Investment Plan,Mid-Career Professional,88171,0.28,None,4,Medium,Savings Account,2025-09-08,Mobile App,No,Low,Matched to profile,0.18,Hybrid,No
CUST00052,38,Male,Single,1,Retired,Medium,402,Metro,Premium Credit Card,"Savings Account, Bike Loan",Personal Loan (Travel),Mid-Career Professional,136691,0.46,Car Loan,9,Medium,Fixed Deposit,2025-09-09,Mobile App,No,Low,Similar customers bought this,0.63,Content-Based,No
CUST00053,57,Female,Divorced,2,Self-Employed,Medium,304,Semi-Urban,Premium Credit Card,"Gold Investment, Life Insurance",Personal Loan (Travel),Pre-Retirement,29898,0.1,Personal Loan,5,Medium,Gold Investment,2025-09-08,Mobile App,No,Low,Similar customers bought this,0.55,Content-Based,Yes
CUST00054,61,Other,Single,1,Other,Medium,738,Urban,Basic Credit Card,"Gold Investment, Life Insurance",Personal Loan,Pre-Retirement,154205,0.48,Car Loan,7,Medium,Gold Investment,2025-09-02,Branch,No,Low,Similar customers bought this,0.68,Collaborative Filtering,Yes
CUST00055,25,Other,Married,1,Retired,Low,598,Urban,Basic Credit Card,"Fixed Deposit, Home Loan",Personal Loan,Early Career,117787,0.49,None,4,Medium,Savings Account,2025-09-24,Mobile App,Yes,Low,Based on browsing history,0.45,Content-Based,Yes
CUST00056,23,Male,Married,2,Government,Low,424,Semi-Urban,Savings Account,"Savings Account, Bike Loan",Basic Credit Card,Mid-Career Professional,196290,0.5,None,7,High,Retirement Fund,2025-09-07,Mobile App,No,Low,Matched to profile,0.25,Content-Based,No
CUST00057,27,Male,Single,0,Other,Low,457,Semi-Urban,Premium Credit Card,"Gold Investment, Life Insurance",Personal Loan (Travel),Early Career,118881,0.36,Car Loan,6,High,Travel Insurance,2025-09-19,Branch,No,Low,Similar customers bought this,0.23,Collaborative Filtering,No
CUST00058,63,Female,Single,1,Government,Low,623,Semi-Urban,Mortgage Loan,"Fixed Deposit, Home Loan",Retirement Investment Plan,Early Career,151841,0.06,Home Loan,9,High,Micro-loans,2025-09-03,Website,Yes,Medium,Based on browsing history,0.4,Hybrid,No
CUST00059,25,Male,Single,2,Retired,Medium,680,Metro,Basic Credit Card,"Gold Investment, Life Insurance",Personal Loan,Pre-Retirement,11221,0.41,Personal Loan,8,Medium,Retirement Fund,2025-09-06,Mobile App,Yes,Low,Based on browsing history,0.16,Hybrid,No
CUST00060,50,Female,Married,1,Self-Employed,High,704,Urban,Student Credit Card,"Retirement Fund, Health Insurance",Entry-Level Credit Card,Pre-Retirement,142841,0.39,Car Loan,7,High,Fixed Deposit,2025-09-13,Mobile App,No,Low,Based on browsing history,0.13,Hybrid,Yes
CUST00061,39,Female,Married,3,Other,Medium,703,Semi-Urban,Savings Account,"Fixed Deposit, Home Loan",Basic Credit Card,Pre-Retirement,70180,0.12,Home Loan,4,Medium,Savings Account,2025-09-16,Website,Yes,Low,Similar customers bought this,0.9,Collaborative Filtering,Yes
CUST00062,47,Female,Married,3,Other,High,592,Semi-Urban,Mortgage Loan,"Gold Investment, Life Insurance",Retirement Investment Plan,Young Professional,124343,0.18,None,4,Low,Travel Insurance,2025-09-20,Website,No,High,Based on browsing history,0.33,Content-Based,No
CUST00063,55,Female,Single,1,IT,Low,805,Metro,Basic Credit Card,"Fixed Deposit, Home Loan",Personal Loan,Pre-Retirement,34419,0.14,Home Loan,2,Medium,Micro-loans,2025-09-10,Mobile App,No,Low,Based on browsing history,0.27,Hybrid,No
CUST00064,31,Male,Single,0,Other,Medium,636,Metro,Basic Credit Card,"Fixed Deposit, Home Loan",Personal Loan,Pre-Retirement,191172,0.46,None,8,High,Micro-loans,2025-09-06,Website,No,Low,Similar customers bought this,0.47,Collaborative Filtering,No
CUST00065,57,Female,Married,1,IT,Low,796,Semi-Urban,Basic Credit Card,"Gold Investment, Life Insurance",Personal Loan,Early Career,18347,0.21,Multiple,2,Medium,Gold Investment,2025-09-25,Branch,Yes,Medium,Matched to profile,0.1,Hybrid,No
CUST00066,35,Female,Divorced,1,Retired,Low,450,Metro,Premium Credit Card,"Fixed Deposit, Home Loan",Personal Loan (Travel),Early Career,74870,0.48,None,4,Low,Savings Account,2025-09-21,Branch,No,Medium,Based on browsing history,0.43,Collaborative Filtering,Yes
CUST00067,52,Female,Divorced,0,Retired,Low,511,Semi-Urban,Premium Credit Card,"Travel Insurance, Mutual Funds",Personal Loan (Travel),Mid-Career Professional,5760,0.22,None,1,Medium,Savings Account,2025-09-01,Website,No,Low,Matched to profile,0.59,Content-Based,Yes
CUST00068,36,Male,Married,0,Self-Employed,Medium,682,Rural,Basic Credit Card,"Travel Insurance, Mutual Funds",Personal Loan,Mid-Career Professional,175582,0.22,None,3,Medium,Gold Investment,2025-09-17,Mobile App,No,Low,Based on browsing history,0.92,Hybrid,Yes
CUST00069,29,Male,Single,0,Retired,High,517,Semi-Urban,Basic Credit Card,"Gold Investment, Life Insurance",Personal Loan,Pre-Retirement,96493,0.2,Personal Loan,4,High,Micro-loans,2025-09-14,Website,No,Medium,Matched to profile,0.92,Collaborative Filtering,No
CUST00070,35,Female,Single,2,Self-Employed,Low,380,Metro,Savings Account,"Travel Insurance, Mutual Funds",Basic Credit Card,Early Career,70831,0.43,None,3,Medium,Savings Account,2025-09-17,Website,Yes,Medium,Similar customers bought this,0.11,Collaborative Filtering,No
CUST00071,44,Female,Single,1,Government,Low,674,Semi-Urban,Basic Credit Card,"Travel Insurance, Mutual Funds",Personal Loan,Mid-Career Professional,38170,0.14,Multiple,4,High,Fixed Deposit,2025-09-03,Mobile App,No,Low,Similar customers bought this,0.27,Content-Based,No
CUST00072,61,Female,Married,0,IT,High,522,Metro,Basic Credit Card,"Savings Account, Bike Loan",Personal Loan,Mid-Career Professional,29686,0.36,Multiple,1,Medium,Fixed Deposit,2025-09-04,Branch,No,Low,Similar customers bought this,0.43,Content-Based,No
CUST00073,42,Female,Married,0,Government,Low,512,Metro,Premium Credit Card,"Micro-loans, Budget Credit Card",Personal Loan (Travel),Early Career,68932,0.09,Personal Loan,2,Medium,Gold Investment,2025-09-01,Website,No,Medium,Based on browsing history,0.37,Hybrid,No
CUST00074,37,Female,Married,3,Self-Employed,High,390,Semi-Urban,Premium Credit Card,"Gold Investment, Life Insurance",Personal Loan (Travel),Pre-Retirement,128151,0.5,None,10,High,Retirement Fund,2025-09-10,Mobile App,No,Low,Matched to profile,0.4,Content-Based,Yes
CUST00075,39,Male,Married,1,Other,Medium,618,Metro,Premium Credit Card,"Fixed Deposit, Home Loan",Personal Loan (Travel),Early Career,80890,0.27,None,6,High,Fixed Deposit,2025-09-09,Mobile App,No,Low,Matched to profile,0.75,Hybrid,No
CUST00076,45,Male,Single,1,IT,High,325,Metro,Premium Credit Card,"Savings Account, Bike Loan",Personal Loan (Travel),Early Career,180291,0.11,Personal Loan,3,Medium,Savings Account,2025-09-26,Mobile App,No,Low,Matched to profile,0.23,Hybrid,Yes
CUST00077,47,Female,Divorced,0,Government,Medium,535,Semi-Urban,Savings Account,"Gold Investment, Life Insurance",Basic Credit Card,Young Professional,177064,0.26,Car Loan,2,High,Fixed Deposit,2025-09-27,Mobile App,No,Low,Based on browsing history,0.85,Content-Based,No
CUST00078,46,Female,Single,0,Government,Medium,594,Rural,Student Credit Card,"Travel Insurance, Mutual Funds",Entry-Level Credit Card,Early Career,54001,0.09,None,9,Medium,Retirement Fund,2025-09-14,Mobile App,Yes,Medium,Based on browsing history,0.91,Hybrid,No
CUST00079,62,Female,Single,1,Government,Medium,442,Semi-Urban,Savings Account,"Fixed Deposit, Home Loan",Basic Credit Card,Mid-Career Professional,156367,0.36,None,7,Medium,Fixed Deposit,2025-09-13,Mobile App,Yes,High,Similar customers bought this,0.67,Collaborative Filtering,Yes
CUST00080,50,Female,Married,7,Retired,Medium,489,Semi-Urban,Premium Credit Card,"Micro-loans, Budget Credit Card",Personal Loan (Travel),Pre-Retirement,123663,0.27,Personal Loan,3,Low,Travel Insurance,2025-09-08,Mobile App,No,Medium,Matched to profile,0.28,Hybrid,Yes
CUST00081,36,Female,Divorced,0,Other,Medium,357,Urban,Savings Account,"Gold Investment, Life Insurance",Basic Credit Card,Young Professional,165710,0.11,None,1,High,Gold Investment,2025-09-21,Mobile App,Yes,Medium,Similar customers bought this,0.65,Hybrid,No
CUST00082,22,Male,Married,0,Government,Low,330,Metro,Premium Credit Card,"Fixed Deposit, Home Loan",Personal Loan (Travel),Early Career,72471,0.32,Car Loan,2,High,Retirement Fund,2025-09-21,Website,Yes,Low,Based on browsing history,0.59,Collaborative Filtering,No
CUST00083,46,Female,Married,1,Government,Medium,510,Metro,Basic Credit Card,"Retirement Fund, Health Insurance",Personal Loan,Young Professional,48122,0.18,Car Loan,8,High,Retirement Fund,2025-09-08,Mobile App,No,High,Based on browsing history,0.15,Content-Based,Yes
CUST00084,28,Male,Married,0,Government,Medium,403,Urban,Basic Credit Card,"Retirement Fund, Health Insurance",Personal Loan,Mid-Career Professional,111940,0.47,Personal Loan,6,Low,Micro-loans,2025-09-24,Website,No,High,Similar customers bought this,0.63,Content-Based,No
CUST00085,30,Male,Married,2,Other,High,592,Semi-Urban,Premium Credit Card,"Gold Investment, Life Insurance",Personal Loan (Travel),Pre-Retirement,23969,0.34,None,9,Low,Retirement Fund,2025-09-24,Website,No,Low,Based on browsing history,0.77,Hybrid,No
CUST00086,45,Male,Married,2,Government,Medium,361,Rural,Savings Account,"Savings Account, Bike Loan",Basic Credit Card,Mid-Career Professional,141694,0.23,None,9,Low,Gold Investment,2025-09-21,Mobile App,Yes,Medium,Matched to profile,0.39,Content-Based,No
CUST00087,22,Female,Single,0,IT,Medium,747,Urban,Savings Account,"Micro-loans, Budget Credit Card",Basic Credit Card,Mid-Career Professional,80279,0.11,Multiple,10,High,Micro-loans,2025-09-05,Mobile App,No,Medium,Based on browsing history,0.74,Hybrid,No
CUST00088,29,Female,Single,0,Retired,Low,346,Rural,Premium Credit Card,"Savings Account, Bike Loan",Personal Loan (Travel),Mid-Career Professional,178677,0.36,None,6,High,Travel Insurance,2025-09-16,Website,No,Low,Matched to profile,0.56,Hybrid,No
CUST00089,45,Other,Married,0,Retired,Medium,355,Urban,Student Credit Card,"Fixed Deposit, Home Loan",Entry-Level Credit Card,Young Professional,21027,0.26,None,4,Medium,Retirement Fund,2025-09-28,Website,No,Low,Matched to profile,0.86,Hybrid,No
CUST00090,32,Male,Married,0,Government,Medium,539,Semi-Urban,Basic Credit Card,"Micro-loans, Budget Credit Card",Personal Loan,Mid-Career Professional,100926,0.39,Personal Loan,1,Medium,Travel Insurance,2025-09-19,Website,No,Low,Matched to profile,0.93,Content-Based,No
CUST00091,38,Male,Single,0,Other,High,693,Urban,Savings Account,"Gold Investment, Life Insurance",Basic Credit Card,Mid-Career Professional,183201,0.34,None,7,High,Savings Account,2025-09-21,Mobile App,No,Low,Similar customers bought this,0.21,Collaborative Filtering,No
CUST00092,29,Male,Single,3,Other,High,488,Metro,Basic Credit Card,"Savings Account, Bike Loan",Personal Loan,Mid-Career Professional,196590,0.33,Home Loan,7,Medium,Retirement Fund,2025-09-08,Mobile App,Yes,Low,Similar customers bought this,0.47,Content-Based,No
CUST00093,56,Male,Divorced,0,Self-Employed,Low,441,Semi-Urban,Premium Credit Card,"Fixed Deposit, Home Loan",Personal Loan (Travel),Pre-Retirement,32139,0.38,None,2,Medium,Savings Account,2025-09-13,Website,Yes,Medium,Similar customers bought this,0.79,Content-Based,Yes
CUST00094,56,Male,Married,1,Self-Employed,High,412,Rural,Basic Credit Card,"Travel Insurance, Mutual Funds",Personal Loan,Mid-Career Professional,143388,0.21,Home Loan,5,Low,Savings Account,2025-09-04,Mobile App,Yes,Medium,Matched to profile,0.84,Collaborative Filtering,Yes
CUST00095,54,Male,Widowed,2,IT,Low,692,Semi-Urban,Student Credit Card,"Fixed Deposit, Home Loan",Entry-Level Credit Card,Mid-Career Professional,114532,0.49,None,5,High,Gold Investment,2025-09-20,Mobile App,Yes,Low,Matched to profile,0.54,Collaborative Filtering,Yes
CUST00096,26,Male,Married,0,IT,Low,507,Urban,Basic Credit Card,"Savings Account, Bike Loan",Personal Loan,Pre-Retirement,180220,0.47,Personal Loan,6,High,Micro-loans,2025-09-15,Mobile App,No,Medium,Similar customers bought this,0.47,Content-Based,Yes
CUST00097,63,Male,Married,1,Other,Medium,372,Rural,Savings Account,"Gold Investment, Life Insurance",Basic Credit Card,Pre-Retirement,55035,0.37,Home Loan,3,Low,Travel Insurance,2025-09-28,Branch,No,Medium,Based on browsing history,0.48,Collaborative Filtering,No
CUST00098,60,Female,Single,1,IT,Low,566,Semi-Urban,Savings Account,"Gold Investment, Life Insurance",Basic Credit Card,Mid-Career Professional,169319,0.1,Home Loan,3,Low,Retirement Fund,2025-09-28,Website,No,Low,Based on browsing history,0.11,Content-Based,No
CUST00099,62,Female,Single,0,Self-Employed,Medium,441,Metro,Basic Credit Card,"Micro-loans, Budget Credit Card",Personal Loan,Young Professional,74424,0.42,Personal Loan,8,High,Fixed Deposit,2025-09-12,Mobile App,Yes,Medium,Based on browsing history,0.32,Content-Based,No
CUST00100,49,Female,Single,0,Other,Low,438,Rural,Premium Credit Card,"Micro-loans, Budget Credit Card",Personal Loan (Travel),Early Career,183289,0.2,Home Loan,3,Low,Retirement Fund,2025-09-21,Mobile App,No,Medium,Based on browsing history,0.48,Content-Based,No
